Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
6/21/2016,53564,"30,666,382",0,116215,55593496,177895,1331,144,0
6/22/2016,55749,"30,722,131",0,119611,55713107,178168,1476,157,0
6/23/2016,53206,"30,775,337",0,115262,55828369,178354,1253,160,0
6/24/2016,54186,"30,829,523",0,123440,55951809,178545,2142,224,0
6/25/2016,43000,"30,872,523",0,123815,56075624,178715,4069,176,0
6/26/2016,42992,"30,915,515",0,117472,56193096,178893,3784,156,0
6/27/2016,47023,"30,962,538",0,100253,56293349,179061,1400,164,0
6/28/2016,49593,"31,012,131",0,99918,56393267,179215,1099,114,0
6/29/2016,54882,"31,067,013",0,114793,56508060,179403,1402,128,0
6/30/2016,54843,"31,121,856",0,125575,56633635,179625,1571,141,0
7/1/2016,39665,"31,161,521",0,82871,56716506,179756,1316,139,
7/2/2016,35835,"31,197,356",0,111151,56827657,179903,3596,314,
7/3/2016,35347,"31,232,703",0,111116,56938773,180016,4095,169,
7/4/2016,34859,"31,267,562",0,109745,57048518,180158,3826,155,
7/5/2016,43736,"31,311,298",0,92107,57140625,180338,1357,160,
7/6/2016,51336,"31,362,634",0,109240,57249865,180540,1288,153,
7/7/2016,48724,"31,411,358",0,99975,57349840,180725,1255,113,
7/8/2016,44400,"31,455,758",0,91632,57441472,180852,1258,152,
7/9/2016,38138,"31,493,896",0,107359,57548831,180990,2844,145,
7/10/2016,41985,"31,535,881",0,123282,57672113,181172,3280,137,
7/11/2016,52853,"31,588,734",0,122260,57794373,181381,1440,211,
7/12/2016,56515,"31,645,249",0,120414,57914787,181571,1472,192,
7/13/2016,55471,"31,700,720",0,121029,58035816,181748,1510,146,
7/14/2016,50345,"31,751,065",0,108541,58144357,181877,1326,126,
7/15/2016,48558,"31,799,623",0,104701,58249058,182016,1709,173,
7/16/2016,38405,"31,838,028",0,103429,58352487,182144,3281,122,
7/17/2016,41346,"31,879,374",0,120635,58473122,182314,3440,153,
7/18/2016,43681,"31,923,055",0,97216,58570338,182488,1062,154,
7/19/2016,54587,"31,977,642",0,116806,58687144,182624,1498,139,
7/20/2016,57213,"32,034,855",0,128799,58815943,182792,1601,158,
7/21/2016,54832,"32,089,687",0,128476,58944419,182950,1553,161,
7/22/2016,49185,"32,138,872",0,105666,59050085,183072,1701,176,
7/23/2016,37522,"32,176,394",0,101810,59151895,183177,2932,138,
7/24/2016,39634,"32,216,028",0,113680,59265575,183332,2966,114,
7/25/2016,35376,"32,251,404",0,85145,59350720,183473,920,150,
7/26/2016,52904,"32,304,308",0,108783,59459503,183595,1385,168,
7/27/2016,54148,"32,358,456",0,115744,59575247,183731,1403,132,
7/28/2016,50134,"32,408,590",0,98694,59673941,183846,1292,123,
7/29/2016,37693,"32,446,283",0,81355,59755296,183937,1441,162,
7/30/2016,27780,"32,474,063",0,72197,59827493,184039,2242,112,
7/31/2016,27651,"32,501,714",0,70377,59897870,184157,1641,82,
8/1/2016,49395,"32,551,109",0,101134,59999004,184325,1359,166,
8/2/2016,56744,"32,607,853",0,116187,60115191,184558,1636,181,
8/3/2016,56992,"32,664,845",0,118370,60233561,184766,1827,143,
8/4/2016,56587,"32,721,432",0,118563,60352124,184960,1778,148,
8/5/2016,53286,"32,774,718",0,116534,60468658,185186,2012,185,
8/6/2016,44209,"32,818,927",0,125188,60593846,185436,4159,153,
8/7/2016,43631,"32,862,558",0,116183,60710029,185682,3856,149,
8/8/2016,52251,"32,914,809",0,115847,60825876,185956,1753,184,
8/9/2016,56101,"32,970,910",0,114892,60940768,186223,1701,165,
8/10/2016,50100,"33,021,010",0,101761,61042529,186401,1158,109,
8/11/2016,47420,"33,068,430",0,93639,61136168,186596,1238,152,
8/12/2016,44729,"33,113,159",0,90685,61226853,186771,1467,144,
8/13/2016,38903,"33,152,062",0,100035,61326888,186990,3333,125,
8/14/2016,32961,"33,185,023",0,74055,61400943,187173,2154,91,
8/15/2016,49056,"33,234,079",0,107305,61508248,187394,1417,175,
8/16/2016,50411,"33,284,490",0,103010,61611258,187601,1295,164,
8/17/2016,53983,"33,338,473",0,113583,61724841,187820,1430,138,
8/18/2016,53209,"33,391,682",0,115041,61839882,187998,1459,163,
8/19/2016,51658,"33,443,340",0,110723,61950605,188186,1862,175,
8/20/2016,45808,"33,489,148",0,138864,62089469,188499,4385,167,
8/21/2016,35041,"33,524,189",0,96941,62186410,188725,2664,127,
8/22/2016,54201,"33,578,390",0,118995,62305405,188996,1679,192,
8/23/2016,58665,"33,637,055",0,127012,62432417,189297,1675,170,
8/24/2016,58134,"33,695,189",0,127066,62559483,189577,1597,160,
8/25/2016,53480,"33,748,669",0,111985,62671468,189856,1436,169,
8/26/2016,52026,"33,800,695",0,112005,62783473,190156,1878,197,
8/27/2016,45673,"33,846,368",0,120578,62904051,190480,3767,173,
8/28/2016,44639,"33,891,007",0,121056,63025107,190844,3560,159,
8/29/2016,53279,"33,944,286",0,115101,63140208,191255,1530,174,
8/30/2016,57392,"34,001,678",0,121098,63261306,191713,1510,160,
8/31/2016,57200,"34,058,878",0,118815,63380121,192380,1320,136,
9/1/2016,38174,"34,097,052",0,77415,63457536,192592,714,104,
9/2/2016,52999,"34,150,051",0,126790,63584326,192814,2314,252,
9/3/2016,41629,"34,191,680",0,117476,63701802,193055,4009,268,
9/4/2016,46020,"34,237,700",0,140347,63842149,193326,5467,185,
9/5/2016,45431,"34,283,131",0,118022,63960171,193677,3778,190,
9/6/2016,52432,"34,335,563",0,108743,64068914,194065,1018,178,
9/7/2016,60278,"34,395,841",0,130391,64199305,194396,1328,199,
9/8/2016,61551,"34,457,392",0,130259,64329564,194674,1511,179,
9/9/2016,56804,"34,514,196",0,118213,64447777,194908,1582,178,
9/10/2016,48454,"34,562,650",0,127252,64575029,195189,3549,229,
9/11/2016,52238,"34,614,888",0,136353,64711382,195499,3572,216,
9/12/2016,61083,"34,675,971",0,127447,64838829,195832,1620,225,
9/13/2016,64818,"34,740,789",0,135366,64974195,196122,1462,198,
9/14/2016,58928,"34,799,717",0,121511,65095706,196388,1369,157,
9/15/2016,67312,"34,867,029",0,140436,65236142,196637,1612,240,
9/16/2016,65257,"34,932,286",0,145454,65381596,196886,2047,225,
9/17/2016,59199,"34,991,485",0,154037,65535633,197163,5117,210,
9/18/2016,51685,"35,043,170",0,131788,65667421,197449,3191,159,
9/19/2016,34205,"35,077,375",0,67180,65734601,197620,555,101,
9/20/2016,64881,"35,142,256",0,135085,65869686,197880,1454,200,
9/21/2016,65453,"35,207,709",0,142356,66012042,198118,1566,182,
9/22/2016,67762,"35,275,471",0,146370,66158412,198363,1681,207,
9/23/2016,65499,"35,340,970",0,142458,66300870,198577,2053,248,
9/24/2016,53258,"35,394,228",0,137355,66438225,198827,3990,212,
9/25/2016,53563,"35,447,791",0,143312,66581537,199198,3871,169,
9/26/2016,61120,"35,508,911",0,128011,66709548,199480,1375,170,
9/27/2016,61334,"35,570,245",0,122347,66831895,199739,1175,150,
9/28/2016,59456,"35,629,701",0,120072,66951967,199989,931,107,
9/29/2016,55550,"35,685,251",0,104364,67056331,200201,808,131,
9/30/2016,21368,"35,706,619",0,45194,67101525,200447,175,20,
10/1/2016,39809,"35,746,428",0,91771,"67,193,296",200544,2017,133,
10/2/2016,41018,"35,787,446",0,100425,"67,293,721",200664,2147,119,
10/3/2016,56369,"35,843,815",0,116682,"67,410,403",200829,1514,183,
10/4/2016,60196,"35,904,011",0,123551,"67,533,954",200954,1035,144,
10/5/2016,65031,"35,969,042",0,126942,"67,660,896",201115,1240,160,
10/6/2016,67580,"36,036,622",0,137567,"67,798,463",201234,1580,205,
10/7/2016,65881,"36,102,503",0,142612,"67,941,075",201369,2398,222,
10/8/2016,34624,"36,137,127",0,86818,"68,027,893",201485,2002,160,
10/9/2016,21687,"36,158,814",0,46334,"68,074,227",201539,713,56,
10/10/2016,52248,"36,211,062",0,107487,"68,181,714",201664,2013,163,
10/11/2016,58754,"36,269,816",0,113228,"68,294,942",201761,1172,142,
10/12/2016,57497,"36,327,313",0,119851,"68,414,793",201880,1170,153,
10/13/2016,61209,"36,388,522",0,117523,"68,532,316",201984,1064,168,
10/14/2016,60561,"36,449,083",0,123000,"68,655,316",202090,1592,183,
10/15/2016,51991,"36,501,074",0,138233,"68,793,549",202215,3904,207,
10/16/2016,48866,"36,549,940",0,126550,"68,920,099",202343,3195,172,
10/17/2016,62649,"36,612,589",0,132131,"69,052,230",202502,1447,236,
10/18/2016,68224,"36,680,813",0,143635,"69,195,865",202653,1656,194,
10/19/2016,69758,"36,750,571",0,145347,"69,341,212",202772,1902,164,
10/20/2016,63668,"36,814,239",0,131686,"69,472,898",202893,1377,198,
10/21/2016,40865,"36,855,104",0,80787,"69,553,685",202960,724,102,
10/22/2016,25301,"36,880,405",0,55557,"69,609,242",203019,658,45,
10/23/2016,41462,"36,921,867",0,99878,"69,709,120",203137,2616,134,
10/24/2016,55254,"36,977,121",0,106893,"69,816,013",203269,1145,146,
10/25/2016,52667,"37,029,788",0,96848,"69,912,861",203349,716,102,
10/26/2016,52466,"37,082,254",0,103870,"70,016,731",203410,809,85,
10/27/2016,21054,"37,103,308",0,39660,"70,056,391",203449,101,23,
10/28/2016,46233,"37,149,541",0,89857,"70,146,248",203492,766,111,
10/29/2016,42513,"37,192,054",0,103274,"70,249,522",203579,2615,153,
10/30/2016,37760,"37,229,814",0,107572,"70,357,094",203697,2971,114,
10/31/2016,50071,"37,279,885",0,107875,"70,464,969",203787,1090,123,
11/1/2016,55944,"37,335,829",0,110056,"70,575,025",203888,868,105,
11/2/2016,62133,"37,397,962",0,133258,"70,708,283",203993,1242,141,
11/3/2016,59632,"37,457,594",0,124673,"70,832,956",204108,943,174,
11/4/2016,57867,"37,515,461",0,126507,"70,959,463",204195,1538,207,
11/5/2016,48687,"37,564,148",0,128639,"71,088,102",204301,3416,177,
11/6/2016,39413,"37,603,561",0,104186,"71,192,288",204428,2293,97,
11/7/2016,49883,"37,653,444",0,106484,"71,298,772",204520,972,119,
11/8/2016,56589,"37,710,033",0,123718,"71,422,490",204616,1137,107,
11/9/2016,38050,"37,748,083",0,75883,"71,498,373",204660,257,40,
11/10/2016,50863,"37,798,946",0,111472,"71,609,845",204728,813,139,
11/11/2016,45826,"37,844,772",0,105021,"71,714,866",204802,1248,165,
11/12/2016,34664,"37,879,436",0,86968,"71,801,834",204865,1916,114,
11/13/2016,36806,"37,916,242",0,95679,"71,897,513",204958,2076,95,
11/14/2016,48810,"37,965,052",0,113590,"72,011,103",205034,728,97,
11/15/2016,22884,"37,987,936",0,48797,72059900,205073,105,16,
11/16/2016,53328,"38,041,264",0,107831,72167731,205170,703,113,
11/17/2016,53889,"38,095,153",0,109418,72277149,205231,711,106,
11/18/2016,53370,"38,148,523",0,109802,72386951,205286,1051,125,
11/19/2016,41208,"38,189,731",0,98021,72484972,205376,2272,87,
11/20/2016,20616,"38,210,347",0,45772,72530744,205407,350,34,
11/21/2016,32964,"38,243,311",0,69754,72600498,205449,148,38,
11/22/2016,36723,"38,280,034",0,72592,72673090,205479,290,35,
11/23/2016,34462,"38,314,496",0,73005,72746095,205501,481,56,
11/24/2016,12122,"38,326,618",0,42343,72788438,205518,641,73,
11/25/2016,20980,"38,347,598",0,62444,72850882,205545,1011,67,
11/26/2016,23810,"38,371,408",0,65654,72916536,205572,1356,44,
11/27/2016,24076,"38,395,484",0,74381,72990917,205607,945,31,
11/28/2016,42086,"38,437,570",0,83300,73074217,205667,485,42,
11/29/2016,14584,"38,452,154",0,30989,73105206,205696,48,9,
11/30/2016,24434,"38,476,588",0,52424,73157630,205729,117,10,
12/1/2016,43233,"38,519,821",0,90239,73247869,205762,389,58,
12/2/2016,42358,"38,562,179",0,89092,73336961,205794,440,52,
12/3/2016,29853,"38,592,032",0,70853,73407814,205824,854,58,
12/4/2016,27454,"38,619,486",0,71729,73479543,205857,930,28,
12/5/2016,35927,"38,655,413",0,80214,73559757,205897,278,38,
12/6/2016,33325,"38,688,738",0,67187,73626944,205939,228,26,
12/7/2016,38010,"38,726,748",0,76605,73703549,205967,270,18,
12/8/2016,39621,"38,766,369",0,72219,73775768,205998,235,23,
12/9/2016,33540,"38,799,909",0,63950,73839718,206021,214,31,
12/10/2016,22379,"38,822,288",0,52716,73892434,206033,490,20,
12/11/2016,17798,"38,840,086",0,41740,73934174,206049,287,6,
12/12/2016,29035,"38,869,121",0,58701,73992875,206066,175,14,
12/13/2016,39023,"38,908,144",0,68858,74061733,206090,299,21,
12/14/2016,37799,"38,945,943",0,71798,74133531,206130,257,16,
12/15/2016,25002,"38,970,945",0,45840,74179371,206145,80,13,
12/16/2016,24484,"38,995,429",0,48288,74227659,206171,139,11,
12/17/2016,6993,"39,002,422",0,22363,74250022,206176,36,7,
12/18/2016,16295,"39,018,717",0,38459,74288481,206200,168,14,
12/19/2016,25648,"39,044,365",0,50405,74338886,206225,119,12,
12/20/2016,27677,"39,072,042",0,50408,74389294,206250,202,22,
12/21/2016,30611,"39,102,653",0,55746,74445040,206270,244,20,
12/22/2016,30874,"39,133,527",0,56441,74501481,206293,302,18,
12/23/2016,26335,"39,159,862",0,53318,74554799,206320,399,27,
12/24/2016,8014,"39,167,876",0,28033,74582832,206334,147,10,
12/25/2016,9919,"39,177,795",0,38209,74621041,206369,1052,43,
12/26/2016,10774,"39,188,569",0,32446,74653487,206400,315,27,
12/27/2016,25946,"39,214,515",0,61379,74714866,206450,960,68,
12/28/2016,23596,"39,238,111",0,52937,74767803,206476,619,38,
12/29/2016,13202,"39,251,313",0,29631,74797434,206503,104,8,
12/30/2016,21366,"39,272,679",0,45743,74843177,206543,641,49,
12/31/2016,15925,"39,288,604",0,46810,74889987,206585,798,33,
1/1/2017,16009,39304613,0,50761,74940748,206624,1237,,33
1/2/2017,8921,39313534,0,21545,74962293,206675,142,,15
1/3/2017,14198,39327732,0,25879,74988172,206728,42,,15
1/4/2017,34039,39361771,0,69966,75058138,206778,475,,29
1/5/2017,28393,39390164,0,52446,75110584,206845,214,,17
1/6/2017,24177,39414341,0,48964,75159548,206879,157,,17
1/7/2017,4425,39418766,0,23556,75183104,206892,21,,4
1/8/2017,6417,39425183,0,22756,75205860,206907,27,,2
1/9/2017,15856,39441039,0,35209,75241069,206933,30,,2
1/10/2017,23232,39464271,0,46216,75287285,206955,67,,12
1/11/2017,32419,39496690,0,63099,75350384,206981,208,,37
1/12/2017,39783,39536473,0,84763,75435147,207021,479,,30
1/13/2017,33611,39570084,0,75847,75510994,207059,373,,43
1/14/2017,13819,39583903,0,43090,75554084,207087,252,,33
1/15/2017,17384,39601287,0,50738,75604822,207120,476,,19
1/16/2017,24110,39625397,0,51664,75656486,207163,448,,30
1/17/2017,18646,39644043,0,40697,75697183,207198,63,,15
1/18/2017,30857,39674900,0,57978,75755161,207224,146,,17
1/19/2017,36561,39711461,0,72077,75827238,207262,391,,27
1/20/2017,26752,39738213,0,56479,75883717,207288,184,,19
1/21/2017,26610,39764823,0,64662,75948379,207336,957,,31
1/22/2017,20523,39785346,0,49368,75997747,207368,520,,25
1/23/2017,15822,39801168,0,37687,76035434,207399,54,,20
1/24/2017,13171,39814339,0,35619,76071053,207414,28,,5
1/25/2017,36931,39851270,0,71418,76142471,207453,301,,29
1/26/2017,33002,39884272,0,63750,76206221,207501,223,,28
1/27/2017,32394,39916666,0,70189,76276410,207540,231,,23
1/28/2017,21302,39937968,0,53955,76330365,207567,402,,25
1/29/2017,22527,39960495,0,62854,76393219,207620,585,,26
1/30/2017,29616,39990111,0,59975,76453194,207673,163,,32
1/31/2017,25169,40015280,0,48684,76501878,207706,62,,19
2/1/2017,35221,40050501,0,77639,76579517,207749,194,,22
2/2/2017,34517,40085018,0,70727,76650244,207793,216,,27
2/3/2017,29632,40114650,0,64701,76714945,207825,181,,32
2/4/2017,19204,40133854,0,45120,76760065,207861,413,,14
2/5/2017,20059,40153913,0,50532,76810597,207890,337,,19
2/6/2017,33415,40187328,0,72513,76883110,207930,305,,49
2/7/2017,23053,40210381,0,57760,76940870,207962,54,,17
2/8/2017,40428,40250809,0,90430,77031300,208011,483,,32
2/9/2017,0,40250809,0,0,77031300,208018,0,,0
2/10/2017,1997,40252806,0,8344,77039644,208030,15,,1
2/11/2017,8959,40261765,0,26272,77065916,208037,170,,13
2/12/2017,5801,40267566,0,26468,77092384,208054,26,,5
2/13/2017,23857,40291423,0,58710,77151094,208076,72,,18
2/14/2017,29668,40321091,0,78530,77229624,208099,154,,16
2/15/2017,32052,40353143,0,72383,77302007,208137,170,,30
2/16/2017,29120,40382263,0,63551,77365558,208163,104,,16
2/17/2017,28735,40410998,0,67530,77433088,208200,247,,37
2/18/2017,30571,40441569,0,99126,77532214,208258,2078,,114
2/19/2017,36963,40478532,0,125166,77657380,208347,3746,,122
2/20/2017,32292,40510824,0,91412,77748792,208436,1512,,75
2/21/2017,32643,40543467,0,84767,77833559,208516,308,,48
2/22/2017,38119,40581586,0,90651,77924210,208594,439,,36
2/23/2017,42434,40624020,0,98554,78022764,208658,828,,88
2/24/2017,47031,40671051,0,117155,78139919,208767,1534,,119
2/25/2017,33345,40704396,0,104309,78244228,208886,2035,,77
2/26/2017,24713,40729109,0,75196,78319424,208966,849,,33
2/27/2017,35984,40765093,0,80194,78399618,209035,388,,42
2/28/2017,41835,40806928,0,92642,78492260,209119,504,,60
3/1/2017,40592,40847520,0,85944,78578204,209229,393,,51
3/2/2017,35739,40883259,0,73839,78652043,209310,320,,44
3/3/2017,31105,40914364,0,68702,78720745,209370,292,,39
3/4/2017,15646,40930010,0,43108,78763853,209404,252,,14
3/5/2017,15919,40945929,0,50924,78814777,209451,312,,22
3/6/2017,32467,40978396,0,72776,78887553,209536,321,,39
3/7/2017,29683,41008079,0,63654,78951207,209587,181,,29
3/8/2017,43470,41051549,0,101573,79052780,209656,694,,55
3/9/2017,45251,41096800,0,99450,79152230,209728,764,,34
3/10/2017,18412,41115212,0,41971,79194201,209758,95,,15
3/11/2017,15185,41130397,0,48379,79242580,209781,183,,27
3/12/2017,13442,41143839,0,38114,79280694,209799,167,,9
3/13/2017,27417,41171256,0,58768,79339462,209827,205,,14
3/14/2017,0,41171256,0,0,79339462,209843,0,,0
3/15/2017,0,41171256,0,0,79339462,209859,0,,0
3/16/2017,0,41171256,0,0,79339462,209870,0,,0
3/17/2017,7098,41178354,0,25393,79364855,209888,151,,15
3/18/2017,4106,41182460,0,17446,79382301,209910,93,,6
3/19/2017,10550,41193010,0,33344,79415645,209943,339,,21
3/20/2017,27378,41220388,0,60363,79476008,210002,288,,21
3/21/2017,36824,41257212,0,78104,79554112,210073,479,,47
3/22/2017,26927,41284139,0,55713,79609825,210121,140,,15
3/23/2017,29885,41314024,0,74345,79684170,210160,291,,25
3/24/2017,34019,41348043,0,82681,79766851,210199,485,,39
3/25/2017,29647,41377690,0,86293,79853144,210267,1721,,60
3/26/2017,19893,41397583,0,55139,79908283,210318,546,,30
3/27/2017,26301,41423884,0,59614,79967897,210388,318,,40
3/28/2017,21590,41445474,0,46003,80013900,210448,91,,20
3/29/2017,42430,41487904,0,91525,80105425,210559,830,,97
3/30/2017,39746,41527650,0,91041,80196466,210623,669,,61
3/31/2017,6946,41534596,0,23462,80219928,210670,20,,5
4/1/2017,23849,41558445,0,67299,80287227,210739,767,,43
4/2/2017,39779,41598224,0,130087,80417314,210915,3639,,58
4/3/2017,43484,41641708,0,104217,80521531,211075,970,,68
4/4/2017,29990,41671698,0,63091,80584622,211171,183,,23
4/5/2017,47635,41719333,0,108281,80692903,211310,1192,,59
4/6/2017,18020,41737353,0,44411,80737314,211362,67,,12
4/7/2017,35779,41773132,0,81358,80818672,211440,456,,43
4/8/2017,35936,41809068,0,108886,80927558,211589,2719,,83
4/9/2017,43895,41852963,0,137240,81064798,211806,4390,,114
4/10/2017,50422,41903385,0,124356,81189154,212050,2164,,139
4/11/2017,57309,41960694,0,150222,81339376,212298,2699,,135
4/12/2017,51188,42011882,0,113959,81453335,212484,1493,,108
4/13/2017,52915,42064797,0,131228,81584563,212648,2388,,129
4/14/2017,52230,42117027,0,149382,81733945,212812,3451,,273
4/15/2017,42531,42159558,0,134526,81868471,212950,3981,,235
4/16/2017,48137,42207695,0,157912,82026383,213172,6143,,361
4/17/2017,53247,42260942,0,127619,82154002,213385,2019,,234
4/18/2017,53809,42314751,0,126129,82280131,213580,1624,,194
4/19/2017,45788,42360539,0,97587,82377718,213703,738,,55
4/20/2017,44260,42404799,0,108427,82486145,213819,1065,,172
4/21/2017,39868,42444667,0,92348,82578493,213913,1194,,129
4/22/2017,34596,42479263,0,101444,82679937,214028,5173,,102
4/23/2017,49106,42528369,0,142563,82822500,214278,4541,,420
4/24/2017,48692,42577061,0,103241,82925741,214462,1143,,123
4/25/2017,20332,42597393,0,47829,82973570,214552,201,,36
4/26/2017,37727,42635120,0,81859,83055429,214654,595,,109
4/27/2017,52035,42687155,0,122394,83177823,214793,1412,,266
4/28/2017,62199,42749354,0,163665,83341488,214965,2963,,458
4/29/2017,57701,42807055,0,180290,83521778,215219,5699,,562
4/30/2017,42928,42849983,0,125305,83647083,215455,2921,,340
5/1/2017,56218,42906201,0,136675,83783758,215724,1813,,311
5/2/2017,61205,42967406,0,142585,83926343,216017,1827,,309
5/3/2017,59251,43026657,0,141936,84068279,216239,1537,,247
5/4/2017,57428,43084085,0,144583,84212862,216436,1626,,239
5/5/2017,24009,43108094,0,58278,84271140,216535,355,,52
5/6/2017,46616,43154710,0,127879,84399019,216768,3349,,363
5/7/2017,34293,43189003,0,90625,84489644,216928,1921,,196
5/8/2017,51553,43240556,0,114260,84603904,217147,1230,,253
5/9/2017,56461,43297017,0,118257,84722161,217341,1179,,199
5/10/2017,58452,43355469,0,136080,84858241,217512,1362,,225
5/11/2017,57208,43412677,0,135699,84993940,217673,1313,,205
5/12/2017,56671,43469348,0,132477,85126417,217840,1784,,189
5/13/2017,5704,43475052,0,28193,85154610,217905,117,,0
5/14/2017,38729,43513781,0,114819,85269429,218120,2664,,222
5/15/2017,54715,43568496,0,129870,85399299,218356,1279,,185
5/16/2017,64504,43633000,0,157411,85556710,218690,1850,,283
5/17/2017,65791,43698791,0,153500,85710210,219023,1864,,241
5/18/2017,63753,43762544,0,149837,85860047,219304,1929,,270
5/19/2017,62143,43824687,0,145832,86005879,219564,2310,,275
5/20/2017,47858,43872545,0,135405,86141284,219776,3486,,251
5/21/2017,54873,43927418,0,160019,86301303,220097,4903,,287
5/22/2017,24627,43952045,0,61049,86362352,220269,218,,22
5/23/2017,60024,44012069,0,139680,86502032,220513,1579,,224
5/24/2017,60621,44072690,0,135482,86637514,220735,1558,,153
5/25/2017,17494,44090184,0,50743,86688257,220840,143,,27
5/26/2017,53763,44143947,0,133402,86821659,221049,2224,,306
5/27/2017,46533,44190480,0,145924,86967583,221271,4590,,511
5/28/2017,46724,44237204,0,151063,87118646,221515,5229,,374
5/29/2017,26321,44263525,0,75825,87194471,221745,1149,,77
5/30/2017,50192,44313717,0,114629,87309100,222057,962,,204
5/31/2017,59494,44373211,0,142097,87451197,222764,1596,,197
6/1/2017,67404,44440615,0,163063,87614260,222977,1957,,289
6/2/2017,66905,44507520,0,157299,87771559,223162,2315,,357
6/3/2017,56263,44563783,0,155712,87927271,223356,4627,,356
6/4/2017,40138,44603921,0,100571,88027842,223520,2270,,103
6/5/2017,55882,44659803,0,123795,88151637,223719,1286,,204
6/6/2017,41268,44701071,0,86679,88238316,223834,523,,89
6/7/2017,64452,44765523,0,149853,88388169,223969,1536,,258
6/8/2017,62652,44828175,0,132716,88520885,224131,1631,,266
6/9/2017,66504,44894679,0,156787,88677672,224289,2513,,313
6/10/2017,57086,44951765,0,150903,88828575,224455,4764,,296
6/11/2017,51427,45003192,0,140711,88969286,224654,3941,,179
6/12/2017,57870,45061062,0,133564,89102850,224889,1561,,201
6/13/2017,60920,45121982,0,129444,89232294,225078,1407,,179
6/14/2017,60510,45182492,0,137988,89370282,225231,1573,,218
6/15/2017,64761,45247253,0,144513,89514795,225430,1885,,227
6/16/2017,56401,45303654,0,128201,89642996,225556,1507,,177
6/17/2017,34899,45338553,0,83755,89726751,225683,2243,,209
6/18/2017,49469,45388022,0,138414,89865165,225864,3730,,295
6/19/2017,38308,45426330,0,88057,89953222,226025,878,,158
6/20/2017,64670,45491000,0,146794,90100016,226220,1781,,215
6/21/2017,67215,45558215,0,154525,90254541,226394,1666,,258
6/22/2017,66304,45624519,0,158453,90412994,226589,1818,,260
6/23/2017,55321,45679840,0,129797,90542791,226695,1585,,205
6/24/2017,52150,45731990,0,141282,90684073,226849,4277,,314
6/25/2017,54645,45786635,0,158625,90842698,227015,4527,,256
6/26/2017,62661,45849296,0,145321,90988019,227211,2024,,297
6/27/2017,64762,45914058,0,151112,91139131,227418,1697,,229
6/28/2017,67740,45981798,0,159263,91298394,227679,1893,,208
6/29/2017,64260,46046058,0,146419,91444813,227855,1703,,210
6/30/2017,58660,46104718,0,132583,91577396,228047,2024,,293
7/1/2017,36737,46141455,0,107126,91684522,228157,2828,,372
7/2/2017,43035,46184490,0,128397,91812919,228306,4314,,458
7/3/2017,48193,46232683,0,130240,91943159,228473,3243,,316
7/4/2017,49924,46282607,0,146441,92089600,228669,4929,,315
7/5/2017,60321,46342928,0,149487,92239087,228908,1886,,267
7/6/2017,62147,46405075,0,140767,92379854,229085,1646,,264
7/7/2017,44068,46449143,0,103656,92483510,229241,1283,,216
7/8/2017,55015,46504158,0,146438,92629948,229453,4138,,333
7/9/2017,57118,46561276,0,159914,92789862,229680,4471,,340
7/10/2017,60908,46622184,0,141463,92931325,229933,1546,,359
7/11/2017,61670,46683854,0,141463,93072788,230159,1269,,227
7/12/2017,61786,46745640,0,132874,93205662,230336,1376,,179
7/13/2017,56475,46802115,0,126527,93332189,230514,1322,,180
7/14/2017,31851,46833966,0,70477,93402666,230610,570,,101
7/15/2017,56499,46890465,0,148067,93550733,230772,4761,,378
7/16/2017,56833,46947298,0,153666,93704399,230981,4497,,308
7/17/2017,62555,47009853,0,141323,93845722,231225,1675,,289
7/18/2017,66234,47076087,0,144623,93990345,231416,1724,,243
7/19/2017,63916,47140003,0,143277,94133622,231603,1617,,267
7/20/2017,59665,47199668,0,131871,94265493,231741,1439,,229
7/21/2017,60074,47259742,0,136330,94401823,231882,1929,,304
7/22/2017,48013,47307755,0,124272,94526095,232049,3634,,332
7/23/2017,46945,47354700,0,117035,94643130,232212,3164,,249
7/24/2017,43793,47398493,0,104460,94747590,232359,989,,113
7/25/2017,65339,47463832,0,148542,94896132,232521,1549,,285
7/26/2017,70329,47534161,0,168603,95064735,232674,2054,,248
7/27/2017,65773,47599934,0,144443,95209178,232820,1666,,214
7/28/2017,63911,47663845,0,151514,95360692,232984,2293,,297
7/29/2017,52955,47716800,0,132509,95493201,233138,4085,,324
7/30/2017,59364,47776164,0,165423,95658624,233360,5214,,376
7/31/2017,64231,47840395,0,153123,95811747,233614,1862,,263
8/1/2017,66676,47907071,0,147654,95959401,233824,1813,,272
8/2/2017,56179,47963250,0,122622,96082023,233958,3291,,139
8/3/2017,66144,48029394,0,146858,96228881,234160,1849,,257
8/4/2017,56391,48085785,0,128749,96357630,234312,2212,,325
8/5/2017,58966,48144751,0,169511,96527141,234524,5299,,415
8/6/2017,56473,48201224,0,161492,96688633,234715,4686,,292
8/7/2017,23395,48224619,0,55927,96744560,234851,249,,34
8/8/2017,65228,48289847,0,145901,96890461,235084,1738,,331
8/9/2017,67874,48357721,0,170524,97060985,235283,1952,,300
